0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC  3632,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,Septembei,October,,,,,,,,,,,,,August,September,October,November,December
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1958,3.8,4.8,3.2,4.4,5.7,4.6,3.9,3.5,3.2,2.7,3.2,2.9,2.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1960,48.1,51.5,53.8,55.0,53.9,53.0,50.9,45.6,42.7,42.9,39.2,43.6,44.7
1959,3.9,3.3,2.4,2.2,2.9,3.5,3.9,3.4,7.2,5.2,4.3,4.5,3.5,,,,,,,,,,,,,,,
1960,4.3,2.6,3.1,3.5,4.3,4.4,5.3,4.8,4.6,5.1,4.0,5.2,5.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,45.7,45.6,46.6,46.7,46.1,46.0,45.3,43.7,42.9,45.0,46.1,46.4,47.5
,,,,,,,,,,,,,,,1962,46.5,47.6,47.2,48.3,48.7,48.8,48.1,46.3,44.6,45.1,44.2,43.6,45.6
1961,3.6,4.0,3.3,2.7,2.4,2.9,3.8,5.4,3.3,4.5,3.8,3.2,4.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1963,47.6,45.7,45.3,45.1,46.9,47.9,48.3,47.4,45.6,47.6,49.2,50.3,51.4
1962,3.7,3.2,3.0,3.1,2.6,3.4,4.1,4.3,4.2,4.7,3.9,4.0,3.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1964,51.3,52.0,52.4,51.8,52.5,50.9,51.4,50.3,48.8,50.2,50.4,52.3,53.1
1963,3.2,3.3,2.7,2.6,2.2,2.7,3.1,3.4,4.1,3.6,2.9,3.8,3.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,52.8,53.7,54.2,54.4,55.0,54.6,54.1,52.6,47.2,51.2,51.3,50.9,54.5
1964,3.1,3.5,2.7,2.9,3.1,2.7,2.5,4.0,3.1,4.0,2.5,2.7,3.9,,,,,,,,,,,,,,,
,,,2.4,3.1,3.2,2.9,3.5,5.6,5.0,4.7,3.4,3.2,,,1966,57.2,55.7,57.9,53.7,59.2,59.5,54.2,50.3,57.1,60.3,60.1,57.8,60.8
1965,3.6,2.9,,,,,,,,,,,3.6,,,,,,,,,,,,,,,
,4.4,3.3,3.2,4.0,3.7,3.7,4.1,6.5,5.1,6.7,4.8,3.8,3.5,,1967,56.1,57.0,57.6,56.5,55.8,57.1,57.6,54.3,55.3,45.4,57.5,59.0,60.4
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1968,58.4,59.9,60.5,59.7,59.8,59.1,58.7,58.8,57.1,55.6,56.1,57.5,58.4
1967,4.2,5.6,4.9,4.5,4.3,3.6,3.0,2.9,5.1,5.4,3.7,3.9,3.7,,,,,,,,,,,,,,,
,,,,,,,,,,,4.5,4.2,3.5,,1969,60.5,61.6,63.2,63.2,63.5,63.7,.63.7,62.8,60.7,62.4,62.0,47.1,52.3
1968,4.1,4.4,4.1,4.0,3.8,3.9,3.6,3.3,4.6,5.4,,,,,,,,,,,,,,,,,,
,4.4,,3.4,4.1,4.3,4.9,3.7,4.4,4.9,6.0,5.2,4.1,4.0,,1970,59.3,53.5,61.7,62.4,63.0,63.7,64.3,64.8,61.1,54.4,61.0,49.5,51.8
1969,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,4.4,4.5,3.8,3.9,4.9,3.9,3.6,3.2,5.5,5.5,4.3,5.3,4.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,55.2,51.5,59.3,61.3,60.0,60.2,58.6,54.3,50.9,53.9,50.8,50.4,50.6
,4.1,,2.7,3.3,3.5,2.9,6.7,3.4,3.5,5.1,6.1,3.0,3.4,,1972,49.6,51.3,51.6,51.5,51.4,51.2,50.8,49.7,45.6,49.1,48.2,47.4,47.6
1971,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,3.9,3.2,3.2,3.6,3.2,3.5,4.0,4.1,5.3,5.3,4.4,3.6,3.3,,1973,48.6,48.3,48.5,48.4,48.6,49.1,50.0,49.8,45.2,47.6,47.8,49.9,49.9
1973,4.5,4.5,3.3,3.9,3.8,4.3,4.8,4.6,5.3,6.3,5.6,4.3,3.8,,1974,47.1,48.6,47.2,44.1,44.4,44.5,45.9,51.6,50.6,50.9,50.1,45.9,41.7
1974,5.4,4.4,4.2,3.6,4.1,4.0,4.1,5.1,6.3,6.7,6.9,6.4,8.4,,1975,,36.0,40.1,38.8,35.9,34.9,37.2,,,,,,
1975,,12.4,6.5,5.6,5.3,3.8,4.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,WOMEN  EMPLOYEES  -   IN THOUSANDS,,,,,,,
,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,1958,,5.8,,,5.5,,,5.0,,,5.0,,
1958,.8,.8,.6,.7,.6,.7,.6,.7,.9,1.4,1.2,.8,.6,,1959,5.6,5.3,5.7,5.5,5.6,5.6,5.4,5.4,5.4,5.7,5.8,5.9,6.0
1959,1.1,.8,.8,.9,1.2,1.2,1.1,1.0,1.3,1.9,1.2,.9,.7,,1960,5.6,6.1,6.1,6.0,6.0,5.9,5.8,5.5,5.0,5.2,4.3,5.2,5.5
1960,1.0,.9,.9,1.2,1.2,.9,.9,.9,1.1,1.5,.8,.6,.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.3,5.2,5.5,5.5,5.6,5.8
1961,.8,.6,.5,.6,.6,.7,.8,.8,1.1,1.4,1.0,.9,.6,,1962,5.6,5.8,5.9,5.8,6.0,6.0,5.8,5.3,5.2,5.4,5.0,5.5,5.6
1962,1.1,.7,.8,1.0,1.1,1.5,1.1,1.1,1.8,1.5,1.1,.8,.6,,1963,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.3,5.3,5.6,5.7,5.7,5.9
1963,1.1,8,8,.8,.8,1.1,1.3,.9,1.5,2.0,1.3,1.0,.8,,1964,5.7,5.9,5.8,6.0,6.0,5.2,5.8,5.6,5.0,5.6,5.7,6.1,6.1
1964,1.2,1.0,.9,1.0,1.1,1.1,.9,1.0,1.5,2.4,1.3,1.1,.8,,1965,6.3,6.2,6.2,6.3,6.3,6.3,6.3,6.2,5.3,5.8,6.3,6.6,7.4
1965,1.6,1.2,1.0,1.3,1.4,1.4,1.4,1.3,1.9,3.0,2.0,1.4,1.5,,1966,7.5,7.3,7.7,6.9,8.0,8.3,7.2,6.2,6.8,7.8,8.3,7.6,8.3
1966,2.4,1.8,1.8,2.3,2.3,2.1,2.0,2.1,3.2,5.1,3.1,1.9,1.5,,1967,8.2,8.0,8.2,8.2,8.1,8.2,8.1,7.7,7.9,6.8,8.8,9.2,9.4
1967,2.0,2.0,1.8,1.9,2.0,1.7,1.6,1.5,2.7,3.7,2.2,1.9,1.3,,1968,9.2,9.4,9.5,9.6,9.7,9.7,9.6,9.3,8.9,7.9,8.1,9.2,9.2
1968,2.1,1.6,1.7,1.9,2.0,1.9,1.8,1.8,3.0,3.9,2.6,1.9,1.5,,1969,10.7,12.4,11.4,11.2,11.4,11.4,111,10.8,10.4,11.1,10.7,7.7,8.8
1969,2.5,2.0,1.8,2.3,2.4,2.2,2.1,2.3,3.1,4.5,3.0,2.1,1.6,,1970,10.2,9.0,10.3,10.3,10.4,10.6,10.5,10.6,10.3,10.0,10.6,9.8,9.8
1970,2.0,2.1,1.9,2.0,2.1,2.0,1.8,1.6,2.5,3.4,2.1,1.3,.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,9.7,9.9,10.2,10.9,10.2,10.4,10.1,9.0,8.5,9.7,9.2,8.7,9.2
1971,1.4,1.3,1.0,1.2,1.4,1.3,1.4,1.2,1.8,2.2,1.5,1.1,.8,,1972,9.1,9.4,9.4,9.3,9.3,9.3,9.2,8.8,8.3,9.1,9.2,9.1,9.1
,See  fo o tn o te s   a t  e n d   o f  ta b le s .,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 6,7,,,,,,,,,,,,,,
