0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 363
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,January,February,,,,,,August,September,October,,
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1962,2.0,2.9,2.2,2.3,2.1,2.5,2.9,1.7,2.3,1.8,1.5,1.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,.4,.7,.5,.9,.3,.2,.5,.4,.4,.5,.4,.3,.2
1963,1.6,1.5,1.4,1.6,2.2,1.5,3.1,1.4,1.5,1.6,1.4,1.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,.3,.6,.2,.2,.2,.5,.4,.3,.3,.2,.3,.3,.2
1964,2.2,1.6,1.4,2.0,2.5,1.8,3.7,1.9,2.5,2.4,2.6,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,1.2,.7,.4,.7,.6,.7,.9,.5,1.0,1.4,2.4,2.5,2.0
1965,2.8,2.1,2.0,2.7,2.4,2.2,4.8,1.6,3.1,3.6,3.3,2.7,,,,,,,,,,,,,,,
1966,3.6,3.0,3.3,3.8,3.5,3.5,7.2,3.6,3.8,3.8,3.7,2.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,.7,1.9,1.1,.6,.4,.4,.3,.6,.3,.3,1.1,.8,.8
1967,2.0,3.4,1.8,1.5,1.5,1.5,4.5,1.5,1.8,2.0,2.1,1.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,.4,.8,.4,.1,.3,.1,.4,.6,.2,.1,.3,.9,.3
1968,2.0,1.5,1.1,1.5,1.7,1.8,3.2,2.0,2.0,2.6,2.9,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,.3,.8,.4,.6,.7,a*,.1,.1,.3,.1,.2,.2,.2
1969,3.0,2.3,2.8,3.5,2.5,2.6,5.4,3.0,2.8,3.7,3.2,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,.4,.1,.1,.4,.2,.1,.2,.1,.1,.4,.7,1.2,.8
1970,1.5,2.4,1.6,1.3,1.8,1.6,3.7,1.3,1.2,1.1,.9,.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,3.0,2.6,1.6,.9,.9,2.2,,,,,,
1971,.9,.7,.8,.7,.6,1.1,1.3,.8,1.0,.8,1.1,,,,,,,,,,,,,,,,
1972,2.3,1.5,1.2,1.7,1.7,2.9,4.9,2.0,2.8,3.0,2.2,2.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SIC  363 _ HOUSEHOLD  AP,,,,,,,,,,,,
1973,3.2,3.4,2.7,3.0,2.9,4.5,4.4,2.6,3.3,3.9,3.4,2.4,,,,,,,,,,,,,,,
1974,2.2,3.0,1.9,2.0,2.2,3.7,3.6,2.0,2.5,2.2,1.6,,,,,,,,,,,,,,,,
1975,,.8,.3,.7,.7,.4,.9,,,,,,,,,,,,A,LL  EMPLOYEES  -  IN THOUSANDS,,,,,,,
,,,,,,,,,,,,,,1958,147.7,156.9,153.3,150.0,146.4,141.6,138.8,138.5,139.2,147.1,150.5,155.2,155.2
,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,157.0,153.5,155.0,156.9,156.4,157.4,156.8,154.5,158.0,160.0,160.6,155.9,159.5
1958,3.5,5.4,4.5,4.9,4.6,4.3,2.8,2.3,3.1,3.3,2.6,1.9,2.1,1960,155.4,163.0,164.6,164.5,161.9,159.6,157.0,152.6,149.1,150.8,145.5,150.5,146.0
1959,3.2,2.8,2.8,3.3,3.8,3.2,3.0,3.2,3.6,4.5,3.1,2.6,3.0,,,,,,,,,,,,,,
1960,3.1,3.4,2.6,4.5,3.9,3.3,2.9,2.2,2.7,3.4,2.5,2.9,2.7,1961,148.2,144.2,145.7,146.1,146.9,147.6,148.1,145.9,147.2,150.1,152.6,152.5,151.9
,,,,,,,,,,,,,,1962,150.3,149.1,149.2,150.8,151.5,151.8,151.1,147.1,148.2,151.0,151.5,150.9,150.9
1961,2.8,2.6,2.6,2.7,2.9,2.6,3.4,2.6,3.1,3.4,2.9,2.6,2.1,1963,155.5,150.1,149.9,149.4,152.0,153.9,155.5,152.9,154.2,158.9,162.3,164.1,162.9
1962,2.7,3.2,2.9,3.2,2.1,2.5,3.0,2.4,2.8,3.6,2.7,2.2,1.4,1964,160.4,160.4,160.9,159.4,160.1,158.6,159.8,156.3,157.8,161.7,162.1,164.1,163.5
1963,2.4,3.2,2.3,2.4,3.1,2.3,1.7,1.9,2.6,3.3,2.3,2.4,1.7,1965,165.3,162.3,163.9,166.0,166.5,165.9,164.2,162.9,158.9,164.8,167.0,168.8,172.5
1964,2.2,2.1,1.9,1.9,2.4,1.9,1.9,2.3,3.0,3.3,2.1,1.8,1.8,1966,179.9,172.2,177.3,167.6,180.3,182.3,179.6,170.5,180.8,183.8,189.4,186.2,188.8
1965,2.4,3.0,2.5,2.5,2.4,1.9,2.1,2.2,2.5,4.0,2.4,1.9,1.9,1967,174.8,180.8,177.5,174.1,170.8,170.6,174.0,166.1,171.0,165.5,179.9,183.0,183.8
1966,3.2,2.3,2.5,3.1,3.1,2.8,3.0,2.9,4.1,6.4,3.1,2.3,2.2,1968,179.3,178.1,178.8,177.3,177.8,176.7,177.9,175.6,178.9,179.4,182.3,184.6,184.7
1967,3.3,3.5,2.6,3.4,3.3,2.5,3.1,2.9,5.1,5.4,3.0,2.6,2.3,1969,186.9,186.4,188.7,189.3,190.8,191.6,193.7,191.5,190.9,194.2,197.8,162.0,165.9
1968,2.9,3.7,2.3,3.1,2.4,2.5,2.8,2.9,3.6,4.4,2.9,2.1,2.0,1970,183.8,164.2,187.3,189.9,188.9,186.8,188.2,185.6,186.1,180.9,190.2,178.9,178.6
1969,3.2,3.1,2.4,2.5,2.7,3.1,3.5,2.8,4.7,5.8,3.5,2.2,2.1,,,,,,,,,,,,,,
1970,3.4,3.5,2.2,3.1,2.8,3.2,3.7,2.3,3.8,5.5,4.1,3.7,3.1,1971,178.8,172.7,178.5,177.5,178.3,179.9,178.7,176.1,177.0,183.4,180.0,182.5,181.2
,,,,,,,,,,,,,,1972,185.9,181.3,182.9,183.6,183.7,184.6,186.5,183.4,183.8,189.7,190.1,190.0,191.1
1971,2.2,3.7,2.3,1.8,1.9,1.7,1.7,2.3,2.3,1.9,2.6,2.0,1.9,1973,196.3,191.0,193.2,193.4,194.6,196.0,197.7,195.6,194.5,199.0,199.2,201.5,199.4
1972,2.6,2.6,2.1,1.9,2.1,2.0,2.6,3.0,4.3,3.5,2.6,2.5,2.0,1974,188.1,196.3,191.8,185.6,187.8,187.8,192.1,195.8,195.8,193.7,189.0,178.7,162.5
1973,3.2,3.6,3.1,3.8,3.3,2.6,3.1,2.6,6.0,3.4,2.9,2.5,2.0,1975,,154.2,148.3,146.3,144.5,147.0,152.3,,,,,,
1974,2.7,2.8,2.0,2.6,2.5,2.2,2.3,2.4,5.0,3.6,2.8,2.5,2.0,,,,,,,,,,,,,,
1975,,4.8,3.7,2.9,2.5,2.2,3.7,,,,,,,,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,
,,,,,,,,,,,,,,1958,,32.1,,,29.4,,,27.5,,,30.5,,
,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,31.3,29.7,30.0,30.1,30.3,30.9,30.7,30.2,31.3,32.6,33.5,33.4,32.9
1958,1.1,1.2,1.1,.9,.8,.9,.9,.8,1.5,1.9,1.2,.9,.8,1960,30.9,32.2,32.0,31.6,30.8,30.7,30.7,30.4,30.0,31.3,30.5,31.4,28.7
1959,1.9,1.2,1.5,1.6,1.9,1.9,1.9,2.0,2.5,3.1,1.8,1.5,1.5,,,,,,,,,,,,,,
1960,1.3,1.6,1.3,1.5,1.4,1.3,1.2,1.2,1.3,2.1,1.1,1.0,.8,1961,29.1,27.7,27.7,27.6,28.0,28.4,29.3,28.5,29.4,30.3,31.1,31.1,30.2
,See  fo o tn o te s   a t  e n d   o f  ta b le s .,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 6 5,,,,,,,,,,,,,,
