0,1,2,3,4
,,,,Percent of
Industry group,,Workers,,
,Number,,Number,estimated total
,,involved,,
,,,,working time
All industries,"'3,655","1,640,000","22,900,000",0.18
,"'1,794","994,000","15,700,000",0.35
Manufacturing,,,,
,8,"6,820","154,000",0.23
Ordnance and accessories,,,,
Food and kindred products,186,"54,900","866,000",.19
,1,600,"1,680",.01
Tobacco manufactures,,,,
,37,"8,440","124,000",.05
Textile mill products,,,,
Apparel and other finished products made,,,,
from fabrics and similar materials,106,"24,700","225,000",.07
"Lumber and wood products, except",,,,
,56,"7,110","96,900",.06
furniture,,,,
,60,"6,930","145,000",.14
Furniture and fixtures,,,,
,79,"38,900","580,000",.36
Paper and allied products,,,,
"Printing, publishing, and allied industries",50,"8,650","801,000",.33
,94,"21,000","337,000",.15
Chemicals and allied products,,,,
Petroleum refining and related industries,22,"5,340","164,000",.34
Rubber and miscellaneous plastics,,,,
,67,"30,000","452,000",.41
products,,,,
Leather and leather products__,34,"6,050","67,300",.07
"______-Stone, clay, and glass products ___-",117,"22,800","412,000",.26
Primary metal industries,173,"87,700","1,010,000",.32
"Fabricated metal products, except ordnance,",,,,
"machinery, and transportation equipment",228,"79,900","1,550,000",.50
"Machinery, except electrical",191,"120,000","1,140,000",.27
"Electrical machinery, equipment, and",,,,
,105,"62,700","859,000",.21
supplies,,,,
,120,"386,000","6,410,000",1.53
Transportation equipment,,,,
"Professional, scientific, and controlling",,,,
instruments; photographic and optical,,,,
goods; watches and clocks,23,"6,840","170,000",.18
Miscellaneous manufacturing industries,49,"8,960","146,000",.14
Nonmanufacturing,"'1,865","646,000","7,210,000",2.09
"Agriculture, forestry, and fisheries",18,"3,000","44,100",(3)
Mining,155,"83,400","808,000",0.49
,944,"248,000","2,790,000",.35
Contract construction,,,,
"Transportation, communication, electric,",,,,
"gas, and sanitary services",257,"205,000","1,900,000",.19
Wholesale and retail trade,309,"61,600","1,340,000",.04
,,,,(4)
"Finance, insurance, and real estate",17,830,"10,400",
Services,125,"20,900","245,000",.01
,,,,(4)
Government,41,"22,700","70,800",
