0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,SIC  3312,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,November,December,Year,,January,February,March,April,,May,,June,,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,.6,.4,.4,,.3,,.3,,.4,,,,,,,
1971,39.7,40.3,40.3,40.6,41.2,40.7,41.4,40.8,36.2,38.0,37.8,37.9,39.5,,,,,,,,,,,,,,,,,,
1972,40.8,39.9,40.2,40.6,41.0,40.9,41.0,41.3,40.9,41.0,40.2,41.2,40.8,,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,
1973,41.5,41.8,41.1,41.2,41.7,40.9,41.4,41.9,40.8,42.0,40.9,42.7,41.1,1958,3.2,6.6,4.4,5.7,,3.8,,' 2.5,,2.0,,3.3,2.0,2.9,1.8,2.0,1.5
1974,41.3,41.3I,40.4,40.8,42.9,40.9,41.2,41.5,40.8,42.6,41.2,41.0,40.7,1959ac,1.4,1.4,1.1,1.3,,1.3,,1.2,,1.5,,a d,ad,a d,a d,a d,1.7
1975,,40.6,40.2,39.8,39.2,38.5,38.6,,,,,,,1960,4.3,1.3,1.9,3.0,,3.2,,5.0,,5.3,,5.4,5.0,4.8,6.1,5.4,5.3
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  OVERTIME  HOURS,,,,,,,,,1961,2.4,3.6,2.7,2.5,,1.7,,1.9,,1.8,,1.7,2.1,2.6,3.1,3.2,1.8
,.8,9,15,.4,.6,.4,.8,.8,.9,1.4,1.1,1.0,1.2,1962,3.7,1.8,1.3,1.7,,3.6,,6.7,,6.4,,4.7,3.6,4.0,4.2,3.2,2.6
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,2.1,1.7',1.81,2.0,2.2,2.3,2.6,1.9,1.7,2.3,2.2,2.1,2.2,1963,2.8,2.5,1.8,1.5,,1.6,,1.6,,1.8,,4.2,4.8,4.6,4.1,2.8,2.3
,1.2,2.6,1.9,1.6,1.8,.9,1.0,1.1,.7,.9,.6,.5,.6,1964,1.8,2.4,1.4,1.6,,1.5,,1.3,,1.5,,1.6,2.0,3.4,1.9,1.5,1.6
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,3.0,1.8,1.4,1.6,,1.6,,1.7,,1.7,,1.8,3.2,6.7,6.6,4.5,3.0
1961,1.2,.9,.61,.7,.9,.9,1.5,1.6,1.4,2.1,1.4,1.2,1.4,1966,2.4,2.2,1.5,1.6,,1.5,,1.8,,1.6,,2.2,3.4,5.3,3.2,2.6,2.4
,,2.31,2.01,1.9,1.6,.9,1.0,1.0,.8,1.2,.8,.9,1.0,1967,2.5,2.8,2.0,2.5,,2.6,,2.3,,2.4,,2.3,2.9,4.2,2.8,1.8,1.8
1962,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8,1.3i,1.4,1.7,2.8,2.7,2.6,2.0,1.4,1.7,1.1,1.1,1.3,1968,3.5,2.2,2.0,2.1,,2.0,,2.2,,2.1,,3.5,8.4,8.1,4.5,2.3,2.0
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.61,1.4,1.6,1.7,1.9,2.1,2.2,2.4,4.1,2.9,2.8,2.5,1969,2.7,2.2,2.1,2.2,,2.1,,2.2,,2.2,,2.7,4.0,5.4,3.1,2.2,2.5
1964,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,2.5,2.6,2.8,2.8,4.5,2.7,3.0,3.1,2.6,2.2,1.3,1.2,1.3,1970,3.3,3.0,2.5,2.7,,2.9,,2.6,,2.2,,2.6,3.5,4.8,5.4,4.1,2.7
1966,2.4,1.6,2.1,2.2,2.5,2.5,2.6,2.9,2.8,3.1,2.5,2.1,1.8,,,,,,,,,,,,,,,,,,
1967,2.0,2.2,2.0,2.1,1.6,1.6,1.7,2.0,1.8,2.2,1.9,2.3,2.3,1971,4.6,2.2,1.9,2.0,,1.9,,2.2,,2.8,,6.5,15.9,6.6,5.5,4.6,3.2
1968,2.8,3.2,2.8,2.9,4.4,3.4,3.5,3.9,1.7,1.6,1.4,1.8,1.9,1972,2.2,2.7,2.5,1.8,,1.9,,2.0,,2.0,,1.9,3.0,3.1,2.5,1.7,1.5
,,2.5>,2.6,2.8,3.1,3.1,3.1,3.2,3.3,3.6,3.2,2.8,2.5,1973,2.1,2.2,1.9,1.9,,1.6,,1.9,,1.7,,1.9,3.4,3.2,2.5,1.7,1.6
1969,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,2.2,2.61,2.5,2.3,2.1,2.1,2.2,2.4,2.4,3.1,1.6,1.2,1.4,1974,2.3,2.1,1.9,1.9,,1.9,,1.6,,1.4,,1.6,3.3,3.1,2.2,2.4,3.8
,,,,,,,,,,,,,,1975,,3.5,3.1,3.3,,4.8,,4.7,,4.6,,,,,,,
1971,2.2,1.91,2.6,2.7,2.9,2.7,3.1,2.3,1.2,1.3,1.2,1.4,2.0,,,,,,,,,,,,,,,,,,
1972,2.4,2.1,2.0,2.0,2.2,2.3,2.5,2.8,2.5,2.7,2.4,2.7,2.7,,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,
1973,3.2,3.3i,2.9,3.0,3.1,2.9,3.2,3.5,3.3,3.7,3.2,3.3,2.9,1958,.2,.3,.2,.2,,.2,,.2,,.2,,.2,.3,.4,.2,.3,.2
1974,3.2,3.0l,2.7,2.8,3.4,2.9,3.0,3.2,3.3,4.2,3.5,3.2,3.0,1959ac,.5,.3,.3,.4,,.5,,.5,,.6,,a d,a d,a d,a d,a d,.8
1975,,2.31,2.3,2.1,1.7,1.5,1.5,,,,,,,1960,.3,.4,.4,.4,,.4,,.3,,.3,,.3,.3,.4,.2,.2,.1
,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,1961,.3,.2,.2,.2,,.2,,.2,,.3,,.2,.3,.6,.3,.2,.2
1958,2.8,1.4,1.8,1.8,2.1,3.5,4.1,2.7,3.8,3.7,3.5,2.1,2.5,1962,.3,.3,.3,.3,,.3,,.3,,.2,,.2,.3,.3,.2,.2,.2
1959ac,3.3,4.0l,5.1,4.6,3.0,2.3,2.2,a d,a d,a d,a d,a d,2.0,1963,.4,.2,.2,.2,,.3,,.4,,.4,,.5,.7,.9,.3,.2,.1
1960,2.0,2.2!,1.7,1.2,1.2,1.3,1.9,2.2,2.4,2.8,2.1,2.3,2.3,1964,.6,.2,.2,.3,,.3,,.4,,.4,,.5,1.1,2.3,.6,.4,.4
