0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,January,February,March,,May,,July,August,September,October,November,December
,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIC 3711  - MOTOR VEHICLES (Con.),,,,,,,,,,,,,,WOMEN  EMPLOYEES  -   IN THOUSANDS,,,,,,,
2.42.6.91.22.93.61968,2.5,8.5,8.2,1.3,1.2,1.1,.7,1970,36.1,46.6,35.3,50.7,47.8,46.1,44.2,34.8,23.0,47.7,5.4,5.2,46.1
2.84.22.31.53.62.31969,2.3,10.8,6.0,2.0,2.4,1.6,4.8,,,,,,,,,,,,,,
3.44.33.04.54.23.81970,3.4,13.5,6.7,.4,.7,2.2,4.3,1971,43.3,49.9,46.6,47.4,45.6,45.6,45.3,41.5,35.7,41.3,40.9,40.7,38.6
,,,,,,,,1972,34.8,37.8,36.3,37.0,37.1,36.9,36.5,17.6,32.4,36.3,36.5,36.7,37.0
.8.3.5.81.119713.0,1.0,16.3,12.3,1.0,.5,.8,1.1,1973,37.6,35.7,35.6,35.2,35.9,36.3,36.8,36.3,35.2,40.6,40.9,40.8,41.3
.4.4.5.22.42.91972,4.7,24.3,.8,.2,.5,.3,.2,1974,34.8,31.7,26.7,21.8,37.2,33.8,37.0,32.0,36.8,40.5,40.9,40.4,39.3
.4.1.2.219732.0.8,.2,12.1,3.7,1.9,.4,.4,4.1,1975,,30.2,29.1,29.1,30.4,34.0,34.0,,,,,,
7*92.3.519745.617.310.0,1.2,8.4,5.7,1.3,1.7,4.8,6.2,,,,,,,,,,,,,,
4.01.52.113.88.81975,1.8,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY EARNINGS  -   IN  DOLLARS,,,,,,,,,
,,,,,,,,1958,115.45,108.58,109.88,111.94,113.78,118.01,115.71,113.69,122.93,98.72,94.79,125.42,132.44
,,,,,,,,1959,113.93,114.40,108.38,112.59,113.85,116.89,110.83,113.42,113.59,113.16,114.00,,
SIC  3 7 1 2 - PASSENGER  CAR  BODIES,,,,,,,,1960,124.86,129.65,122.89,135.00,120.22,125.85,123.77,125.24,107.04,123.47,135.03,119.20126.00,123.00
,,,,,,,,,,,,,,,,,,,,,120.69
ALL  EMPLOYEES  -,IN  THOUSANDS,,,,,,,1961,120.56,111.23,113.70,113.66,119.39,119.29,119.69,119.80,114.05,52.25,127.72,149.12,152.63
,,,,,,,,1962,137.81,136.20,126.88,130.20,132.06,136.78,137.97,137.03,123.65,132.66,142.79,156.18,154.98
61.553.953.654.767.363.21958,53.4,51.5,42.6,48.9,23.1,65.7,71.1,,,,,,,,,,,,,,
,,,,,,,,1963,141.90,146.62,140.62,139.64,134.30,140.94,138.45,137.60,122.45,130.76,147.17,163.31,155.50
67.969.763.466.866.860.51959,66.4,65.7,57.1,58.1,63.9,28.9,51.3,,,,,,,,,,,,,,
,,,,,,,,1964,142.30,136.20,139.19,128.77,138.44,140.53,145.68,129.93,154.37,137.20,105.50,157.08,167.92
64.965.167.567.365.966.31960,66.5,67.9,56.7,59.6,69.2,70*2,69.4,,,,,,,,,,,,,,
,,,,,,,,1965,149.53,159.04,148.70,150.51,154.07,148.70,145.59,138.17,135.68,124.25,146.56,169.92,167.90
,,,,,,,,1966,146.52,147.68,154.07,144.14,149.74,131.45,136.76,136.04,166.14,146.20,152.93,146.73,155.96
54.461.557.651.656.1196156.2,61.8,60.5,36.5,44.2,63.0,63.9,63.1,,,,,,,,,,,,,,
,,,,,,,,1967,150.05,149.51,138.75,140.54,151.84,151.78,150.75,143.64,183.61,168.48,161.28,138.38,143.98
62.361.962.362.361.162.51962,62.1,61.7,467,60.9,62.9,638,64.0,,,,,,,,,,,,,,
,,,,,,,,1968,178.06,162.01,148.19,166.05,170.55,188.07,165.65,164.83,205.62,178.08,194.19,201.71,211.31
62.762.362.763.362.960.61963,62.2,61.4,43.0,58.8,61.6,62.6,63.4,,,,,,,,,,,,,,
,,,,,,,,1969,183.14,187.89,178.93,181.05,179.71,184.02,184.47,191.74,153.08,189.23,186.19,178.13,201.52
60.860.560.3196455.762.960.6,57.5,56.7,32.7,62.9,22.0,649,66 2,,,,,,,,,,,,,,
,,,,,,,,1970,186.59,179.47,181.57,170.10,166.42,180.71,191.27,191.63,208.69,201.96,129.05,164.02,216.49
66.466.066.065.965.6196566.4,66.5,66.4,60.0,64.7,69.7,71.5,68.5,,,,,,,,,,,,,,
70.470.470.966.471.3196665.3,70.0,57.3,28.5,67.4,69.6,72.0,69.9,,,,,,,,,,,,,,
,,,,,,,,1971,218.92,261.13,249.57,239.14,208.03,225.41,221.19,199.95,163.45,184.32,222.80,212.01,215.59
61.162.361.862.963.0196760.0,61.5,60.4,26.2,64.3,65.6,65.7,65.3,,,,,,,,,,,,,,
,,,,,,,,1972,233.80,219.63,219.60,224.10,232.35,244.64,232.26,250.33,197.33,247.65,233.24,252.51,256.66
63.762.062.263.859.563.01968,63.5,61.1,26.6,63.2,63.6,59.2,61.6,,,,,,,,,,,,,,
,,,,,,,,1973,239.54,229.31,271.64,241.53,252.19,254.29,253.13,240.31,158.95,253.21,245.61,231.66,239.12
55.556.060.959.957.056.91969,59.8,50.7,54.8,60.3,58.7,54.3,55.0,,,,,,,,,,,,,,
,,,,,,,,1974,250.32,235.31,232.99,256.56,196.21,235.46,246.33,266.09,202.83,266.08,299.60,266.85,287.00
60.457.655.956.446.345.91970,53.9,44.7,33.1,55.7,16.7,16.2,53.4,,,,,,,,,,,,,,
,,,,,,,,1975,,269.35,265.04,267.72,279.58,282.58,285.84,,,,,,
52.552.553.654.657.3197150.6,52.4,49.0,43.5,48.9,48.4,48.2,45.7,,,,,,,,,,,,,,
43.744.444.644.545.0,44.3,26.5,40.4,44.1,44.4,44.6,44.9,,,,,PRODUCTION-WORKER AVERAGE  HOURLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,
42.61972,,,,,,,,,,,,,,,,,,,,,
44.443.743.445.143.8197346.8,45.8,45.7,45.1,50.3,50.9,51.0,52.0,1958,2.71,2.61,2.61,2.64,2.64,2.67,2.66,2.65,2.75,2.69,2.67,2.91,2.93
41.637.432.546.244.041.51974,45.5,41.1,45.5,49.1,49.6,49.4,48.3,1959,2.82,2.77,2.73,2.78,2.77,2.77,2.75,2.78,2.92,2.97,2.85,3.08,3.00
37.942.838.439.139.61975,43.1,,,,,,,1960,2.98,2.96,2.99,3.00,2.89,2.92,2.94,2.94,2.99,3.11,3.09,3.00,2.98
See footnotes at end of tables.,,,,,,,3 0 7,,,,,,,,,,,,,,
