0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 371
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Tear,,January,February,March,April,May,June,July,August,Septembei,October,November,December,,,January,February,,,,,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1944,640 6,674.9,668.3,659.4,649.0,640.9,638.5,630.4,640.0,635.1,618.2,613.3,618.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1966,147.23,148.58,146.02,144.57,149.02,141.54,143.40,140.42,142.27,151.87,154.86,151.71,150.80
1945,519.7,626.3,628.6,618.4,612.1,591.3,571.3,536.5,494.6,373.4,407.1,464.6,311.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1967,144.84,143.50,135.63,133.86,135.76,144.96,145.14,144.23,148.16,155.88,151.79,138.93,158.98
1946,524.9,336.6,336.6,373.6,538.5,517.8,549.3,576.1,598.9,626.5,619.3,614.7,610.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,168.09,162.31,154.16,161.50,156.21,172.66,168.35,163.24,158.18,173.36,178.20,181.75,179.20
1947,626.4,605.2,633.8,634.5,637.9,597.0,627.2,619.3,615.3,633.0,628.1,635.7,649.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,170.56,171.37,165.62,164.81,166.86,166.03,170.52,175.55,164.77,178.02,173.85,171.40,179.35
1948,631.9,651.8,594.7,646.6,633.6,626.9,609.4,643.6,616.0,633.6,643.8,641.3,641.7,,,,,,,,,,,,,,
,,,,,,,,,,,633.4,,,1970,170.07,164.67,158.26,163.94,156.91,170.91,183.18,176.79,169.55,175.03,165.65,164.83,187.13
1949,613.4,635.8,620.5,617.1,619.4,572.6,616.0,638.1,645.6,653.2,,553.0,555.5,,,,,,,,,,,,,,
1950,677.1,641.3,537.9,545.7,564.4,698.5,724.9,717.5,740.9,747.8,754.7,722.2,729.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,194.46,198.81,200.08,199.70,187.53,196.88,199.28,182.05,179.57,179.71,194.58,194.17,217.36
,,,,,,,,654.9,642.6,645.2,634.3,621.7,614.3,1972,220.16,202.46,207.17,211.92,217.07,220.40,219.53,213.19,205.93,226.88,224.29,231.17,252.65
1951,681.8,728.8,749.2,750.4,731.3,711.1,698.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,491.5,498.4,,667.8,698.0,712.6,1973,237.51,239.76,244.44,233.80,241.73,238.58,243.52,240.13,217.08,233.14,234.97,233.20,249.92
1952,618.7,601.3,601.1,610.2,630.6,634.3,636.3,,,642.2,,,,,,,,,,,,,,,,,
,,,,,,777.3,767.6,762.2,736.6,702.7,699.8,674.0,698.2,1974,239.54,226.00,225.43,228.26,209.44,238.14,241.26,242.67,235.62,251.71,264.80,246.43,258.75
