0,1,2,3,4
,Oregon and South-,Laborers',,carpenters.
,western Washington,International,,
,,Union of North,,
,,America,,
44,Board of Education,American Fed-,"12, 600",reached when the Board of Education agreed to drop aA settlement was
,of the School,eration of,,"demand that the Detroit Federation of Teachers pay the $100, 000-a-day"
,District of the City,Teachers,,cost of keeping administrative personnel in idle schools and the teachers
,of Detroit,,,"agreed to call off an unfair labor practices action, 	The substantive issues"
,"Detroit, Mich.",,,which caused the strike-wages and class size-are to be submitted to
,,,,"compulsory arbitration, and teacher accountability was to be made the sub-"
,,,,ject of a special panel appointed by the Governor.
9,Chrysler Corporation,International,"111, 400",3-year agreement with a wage increase of 3 percent in each year of the
,Interstate,"Union,",,"contract, plus an additional 12 cents an hour in the first year raising the"
,,"United, Auto-",,basic wage of an assembly line worker from $4.48 to $4. 73 an hour in the
,,"mobile, Aero.",,"and improvements in pension plan.first year of the contract,"
