0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
SIC 366,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,November,,,,,,,,,,,,September,October,,
,Average,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,177.02,171.68,172.14,172.%,171.65,173.79,175.01,169.85,178.16,183.72,181.89,185.89,187.09,1958,2.6,2.0,2.1,2.1,2.0,2.3,3.3,2.3,3.2,4.0,3.3,2.4,
1974,188.94,184.73,181.70,183.77,179.73,186.65,188.79,183.21,177.49,193.11,198.05,202.05,207.41,1959,3.5,3.3,3.4,3.1,3.0,2.8,4.9,3.6,3.9,4.4,3.8,3.0,
1975,,196.52,198.60,200.99,200.99,201.96,204.69,,,,,,,1960,3.1,2.8,3.1,2.8,2.3,2.7,4.4,3.0,3.9,4.1,3.4,2.5,
,,,,PRODUCTION-WORKER  AVERAGE  HOURLY  EARNINGS  IN  DOLLARS,,,,,,,,,,1961,2.8,2.5,2.1,2.3,2.1,2.6,3.3,2.3,3.1,3.4,3.7,3.3,
1958,2.28,2.24,2.26,2.25,2.27,2.27,2.28,2.26,2.28,2.30,2.29,2.30,2.33,1962,3.3,3.5,3.6,3.4,3.1,3.0,4.2,3.7,3.4,3.5,3.2,2.7,
1959,2.38,2.34,2.34,2.35,2.35,2.35,2.38,2.38,2.39,2.40,2.41,2.41,2.42,1963,2.3,2.6,2.1,2.0,2.0,1.9,3.0,2.4,2.4,2.7,2.6,1.9,
1960,2.44,2.42,2.42,2.42,2.40,2.42,2.45,2.43,2.45,2.47,2.47,2.47,2.49,1964,2.4,2.1,2.0,2.4,2.2,2.1,3.0,2.2,2.7,3.1,3.0,2.5,
,,,,,,,,,,,,,,1965,2.9,2.2,2.2,2.4,2.3,2.4,3.4,2.7,3.4,3.7,3.5,3.4,
1961,2.53,2.48,2.49,2.50,2.51,2.51,2.54,2.54,2.55,2.56,2.55,2.56,2.57,1966,3.5,3.6,3.3,3.6,3.2,3.2,4.5,3.4,3.7,4.1,4.1,3.0,
1962,2.59,2.57,2.57,2.57,2.58,2.58,2.57,2.58,2.59,2.61,2.61,2.61,2.63,1967,3.0,3.2,3.2,3.0,2.7,2.5,4.0,3.0,3.2,3.3,3.2,2.4,
1963,2.65,2.61,2.63,2.62,2.62,2.63,2.65,2.65,2.66,2.68,2.67,2.68,2.69,1968,2.5,2.5,2.1,2.3,2.1,2.0,3.4,2.6,2.5,3.0,2.8,2.2,
1964,2.74,2.70,2.71,2.71,2.72,2.73,2.74,2.73,2.75,2.76,2.78,2.77,2.78,1969,2.8,2.4,2.4,2.7,2.3,2.4,4.3,2.8,2.8,3.7,3.0,2.4,
1965,2.82,2.77,2.78,2.79,2.77,2.82,2.83,2.82,2.83,2.86,2.85,2.86,2.87,1970,2.1,2.3,2.3,2.3,2.2,1.9,3.2,1.7,2.2,2.1,1.8,1.8,
1966,2.91,2.87,2.88,2.88,2.88,2.90,2.89,2.90,2.89,2.92,2.94,2.95,2.98,,,,,,,,,,,,,,
1967,3.07,2.99,3.03,3.02,3.03,3.05,3.08,3.08,3.09,3.10,3.12,3.12,3.15,1971,1.6,1.8,1.5,1.5,1.5,1.4,2.0,1.5,2.0,1.8,1.6,1.4,
1968,3.23,3.16,3.16,3.16,3.15,3.18,3.19,3.22,3.24,3.28,3.30,3.32,3.35,1972,2.0,1.8,1.6,1.9,1.6,2.0,2.5,1.9,2.5,2.5,2.2,1.7,
1969,3.46,3.36,3.37,3.38,3.39,3.40,3.43,3.46,3.49,3.54,3.53,3.55,3.57,1973,2.3,2.2,2.1,2.0,1.9,2.1,3.3,2.5,2.8,2.5,2.4,1.8,
1970,3.62,3.56,3.58,3.59,3.58,3.57,3.58,3.62,3.61,3.67,3.69,3.70,3.75,1974,2.0,2.3,1.9,1.7,1.9,2.0,2.7,2.3,2.6,2.6,2.1,1.3,
,,,,,,,,,,,,,,1975,,1.3,1.3,1.3,1.3,1.3,1.7,,,,,,
1971,3.80,3.72,3.72,3.74,3.73,3.73,3.74,3.74,3.83,3.89,3.90,3.88,3.96,,,,,,,,,,,,,,
1972,4.09,3.96,3.98,4.00,4.00,4.01,4.04,4.P5,4.14,4.20,4.20,4.22,4.28,,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,
1973,4.36,4.26,4.24,4.26,4.27,4.27,4.30,4.3-,4.41,4.47,4.48,4.49,4.53,1958,1.7,1.2,1.4,1.4,1.3,1.2,2.1,1.5,1.9,2.7,2.4,1.8,
1974,4.70,4.55,4.52,4.56,4.55,4.62,4.65,4.65,4.61,4.78,4.89,4.94,5.01,1959,2.5,1.8,2.1,2.0,2.0,1.9,3.7,2.6,3.0,3.5,3.1,2.4,
1975,,4.95,4.99,5.05,5.05,5.10,5.13,,,,,,,1960,2.3,2.2,2.4,2.1,1.7,1.9,3.4,2.3,2.8,3.2,2.7,1.9,
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  HOURS,,,,,,,,,1961,2.0,1.8,1.5,1.4,1.4,1.6,2.3,1.5,2.1,2.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.5,
1958,40.5,40.0,40.2,40.0,40.1,40.2,40.4,39.8,40.7,41.1,40.9,40.9,41.2,1962,2.4,2.6,2.8,2.6,2.3,2.3,3.3,2.5,2.4,2.7,2.4,1.9,
1959,41.1,41.2,40.6,40.6,40.7,40.9,40.9,40.2,41.2,41.5,41.7,41.4,41.9,1963,1.4,1.5,1.4,1.1,1.2,1.1,1.9,1.5,1.4,1.7,1.6,1.2,
1960,40.4,41.2,40.4,40.5,39.3,40.4,40.7,39.1,40.5,40.9,41.2,40.9,39.9,1964,1.5,1.2,1.1,1.3,1.3,1.2,1.8,1.4,1.7,2.0,2.0,1.7,
,,,,,,,,,,,,,,1965,2.0,1.4,1.4,1.5,1.5,1.6,2.4,2.0,2.4,2.7,2.7,2.7,
1961,40.6,40.5,40.3,40.0,40.1,40.0,40.5,39.7,40.5,41.1,41.1,41.3,41.9,1966,2.8,2.6,2.6,2.9,2.5,2.6,3.8,2.8,3.0,3.3,3.4,2.3,
1962,41.3,41.4,41.3,41.4,41.4,41.5,41.3,40.6,40.8,41.5,41.1,41.2,41.5,1967,2.3,2.3,2.3,2.4,2.0,2.0,3.2,2.4,2.3,2.5,2.5,1.8,
1963,40.5,41.1,40.8,40.5,39.8,40.3,40.5,40.0,40.1,40.7,40.7,40.7,41.1,1968,1.8,1.8,1.6,1.7,1.5,1.4,2.6,1.8,1.9,2.4,2.2,1.7,
1964,40.9,40.5,40.5,40.6,40.6,40.7,40.9,40.1,40.8,41.1,41.4,41.6,41.8,1969,2.2,1.7,1.9,2.0,1.7,1.8,3.5,2.0,2.2,3.0,2.4,1.9,
1965,41.3,41.2,41.3,41.4,40.1,41.1,41.4,40.4,41.3,41.3,41.7,41.9,42.7,1970,1.4,1.7,1.7,1.6,1.5,1.3,2.3,1.1,1.4,1.4,1.2,1.1,
1966,41.7,42.2,42.1,41.9,41.4,41.7,41.6,40.5,41.1,42.0,41.7,41.7,42.3,,,,,,,,,,,,,,
1967,41.1,41.8,41.1,41.1,40.8,40.8,41.2,40.3,40.7,40.9,41.1,41.3,41.8,1971,.8,.9,.8,.7,.6,.6,1.2,.8,1.0,1.0,.9,.8,
1968,40.8,40.8,41.0,40.7,39.3,40.4,41.3,40.1,40.8,41.5,41.2,41.2,41.4,1972,1.2,1.0,.8,1.0,.9,1.2,1.6,1.2,1.7,1.6,1.5,1.2,
1969,41.4,41.1,40.8,41.5,41.3,41.4,41.4,40.0,41.1,41.9,41.5,42.1,42.6,1973,1.7,1.6,1.5,1.4,1.3,1.5,2.6,1.8,2.1,2.0,1.9,1.3,
See  fo o tn o te s   a t  e nd  o f  ta b le s .,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 8 4,,,,,,,,,,,,,,
