0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Year,,January,February,March,,April,,May,,June,,July,,August,Septembei,October,,,,,,,,,,,,,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
SIC  366 -,,COMMUNICATION  EQUIPMENT  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIC  3661  -,,TELEPHONE  AND TELEGRAPH APPARATUS,,,,,,,,,,
1959,1.2,.9,.9,,1.1,,1.0,,1.1,,1.1,,1.2,1.5,2.3,1.4,1.1,1.0,1960,43.3,42.1,42.5,42.4,42.3,44.0,42.7,42.6,43.1,44.2,44.4,44.7,44.0
1960,1.3,1.2,1.2,,1.2,,1.1,,1.1,,1.2,,1.1,1.5,2.4,1.3,1.1,.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1961,43.3,43.6,42.8,42.5,42.2,42.1,41.9,42.8,42.8,43.6,44.5,45.4,45.5
1961,1.2,1.2,.9,,.9,,.9,,.9,,1.2,,1.0,1.4,2.0,1.2,1.2,1.0,1962,47.3,46.0,47.5,48.3,48.1,47.8,47.5,47.4,47.3,47.5,47.1,46.8,46.3
1962,1.3,1.2,1.2,,1.2,,1.2,,1.3,,1.6,,1.2,1.8,2.2,1.2,1.1,.8,1963,42.1,45.3,44.9,44.3,43.3,42.7,41.8,41.2,40.8,40.6,40.6,39.1,40.2
1963,1.2,1.1,1.0,,1.1,,1.1,,1.1,,1.2,,1.1,1.3,1.9,1.2,1.1,.9,1964,42.6,40.4,40.2,40.5,41.1,41.7,42.3,42.8,42.8,43.5,44.5,45.1,46.0
1964,1.0,.9,.9,,.9,,.8,,.9,,1.0,,.9,1.3,1.6,1.0,.9,.9,1965,50.1,46.9,47.3,47.6,48.3,48.7,49.0,49.0,53.5,50.7,52.2,53.4,54.0
1965,1.1,.9,.9,,1.0,,1.0,,1.0,,1.1,,1.0,1.4,1.9,1.3,1.1,1.1,1966,55.9,55.1,56.1,57.4,57.8,57.8,57.7,55.3,55.2,55.3,55.5,55.4,51.9
1966,1.6,1.3,1.2,,1.4,,1.5,,1.5,,1.6,,1.5,2.0,3.0,1.9,1.3,1.2,1967,57.2,52.6,57.1,57.7,58.1,57.6,57.3,57.4,57.1,57.0,57.6,58.3,58.2
1967,1.5,1.5,1.3,,1.5,,1.4,,1.3,,1.5,,1.3,1.8,2.6,1.5,1.2,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1968,56.9,57.9,58.3,58.2,55.4,55.0,55.5,54.7,55.8,56.9,57.4,58.4,58.7
1968,1.5,1.4,1.3,,1.4,,1.3,,1.4,,1.5,,1.3,1.8,2.4,1.5,1.1,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1969,65.7,58.8,60.2,61.1,61.6,62.6,63.6,65.0,68.4,68.8,70.6,73.3,74.2
1969,1.5,1.5,1.2,,1.4,,1.3,,1.5,,1.6,,1.4,1.9,2.6,1.7,1.2,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1970,76.7,74.7,72.8,73.2,74.6,76.0,80.4,80.3,80.5,78.9,76.7,76.6,76.2
1970,1.3,1.3,1.3,,1.2,,1.2,,1.1,,1.4,,1.0,1.7,2.0,1.1,1.1,.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1971,73.6,76.6,75.9,75.6,74.1,74.1,73.7,73.4,72.7,72.8,71.9,71.3,70.6
1971,.8,.8,.7,,.9,,.8,,.8,,1.0,,.8,1.0,1.2,.8,.6,.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1972,72.4,70.0,70.0,70.2,70.6,70.7,71.3,71.5,72.6,74.7,75.4,76.0,76.2
1972,.9,.7,.6,,.8,,.8,,.8,,1.0,,.8,1.3,1.4,1.0,.7,.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,a,,1973,79.8,76.7,77.6,78.1,77.9,78.1,79.4,79.0,79.8,81.5,82.5,83.0,83.5
1973,1.1,1.0,.9,,1.1,,1.0,,1.0,,1.4,,1.0,1.7,1.6,1.1,.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,1974,78.6,83.3,83.1,83.2,81.8,80.8,80.2,79.1,56.1,80.2,75.0,80.9,79.7
1974,1.1,1.1,.9,,1.1,,1.0,,1.2,,1.1,,1.1,1.8,1.7,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1975,,78.0,73.2,72.7,68.9,66.2,64.1,,,,,,
1975,,.6,.4,,.5,,.5,,.5,,.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,PRODUCTION  WORKERS -  IN THOUSANDS,,,,,,,,
,,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,5,1958,64.4,71.9,70.2,68.3,64.5,62.4,61.5,60.8,60.9,61.8,62.9,63.7,64.2
1958,1.2,2.0,2.0,,1.9,,1.8,,1.7,,1.2,,.8,.6,.4,.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.6,.5,1959,68.1,64.6,65.4,65.5,65.3,65.4,66.2,67.6,68.6,70.2,72.0,73.3,73.4
1959,.5,.7,.6,,.7,,.4,,.5,,.4,,1.0,.3,.3,.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1960,74.0,73.5,73.8,73.5,73.2,73.0,73.4,73.2,73.7,75.4,75.8,75.5,74.2
1960,.7,8,1.0,,1.0,,.9,,.8,,.7,,.9,.5,.5,.3,.4,.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,.5,1961,72.4,74.0,72.4,71.7,71.1,71.0,70.6,71.4,71.6,72.7,73.5,74.4,74.6
1961,8,1.1,1.2,,1.2,,.9,,8,,1.0,,.7,.6,.5,.4,.5,,,,,,,,,,,,,,,
,,,,,,,.7,,,,.4,,1.1,.7,.4,,.6,.5,1962,76.5,75.1,77.3,78.5,78.0,77.3,77.0,76.2,75.8,76.6,75.9,75.5,74.8
1962,.6,.5,.6,,.6,,,,.5,,,,,,,.5,,,,,,,,,,,,,,,,
,,1.9,1.1,,,,,,,,1.1,,.7,.9,,,1.4,,1963,68.6,73.8,73.1,72.0,70.5,69.4,68.2,67.5,66.8,66.7,66.5,62.9,65.6
1963,1.2,,,,1.6,,1.3,,1.1,,,,,,.8,1.1,,1.2,,,,,,,,,,,,,,
1964,1.1,1.7,1.6,,1.2,,1.3,,1.3,,1.0,,.9,.8,.8,.8,.6,.8,1964,69.3,65.8,65.5,66.0,66.9,67.9,68.9,69.6,69.8,70.8,72.1,73.3,74.7
1965,.6,.8,.6,,.8,,.8,,.8,,.6,,.8,.3,.5,.3,.3,.3,1965,79.9,76.0,76.7,77.1,78.2,78.6,78.8,78.9,79.8,81.2,82.8,84.4,85.9
1966,.4,.3,.4,,.3,,.4,,.4,,.4,,.5,.4,.3,.4,.4,.3,1966,87.0,87.0,88.4,90.0,90.6,90.4,90.0,86.8,86.3,85.7,85.7,85.5,77.1
1967,.4,.7,.4,,1.0,,.5,,.4,,.3,,.5,.3,.3,.3,.3,.3,1967,87.3,78.1,87.8,88.5,88.6,87.9,88.1,88.0,87.9,87.5,87.8,88.7,88.6
1968,.6,.7,6,,.7,,.9,,.7,,.6,,.6,.5,.6,.7,.7,.4,1968,87.6,88.3,88.9,88.8,85.0,86.0,86.5,85.8,86.8,87.3,88.3,89.3,89.8
1969,.6,.9,.4,,.5,,.5,,.4,,.3,,8,.5,.5,.7,.5,.7,1969,96.8,90.2,91.4,92.1,92.2,93.1,94.7,96.5,98.3,99.3,101.9,105.2,106.4
1970,1.5,1.4,1.5,,1.6,,1.3,,1.3,,1.3,,1.1,1.8,1.8,1.3,2.6,1.5,1970,109.3,107.3,101.8,102.9,104.3,108.4,114.9,116.0,115.0,112.8,109.4,109.8,109.0
1971,1.1,1.4,1.1,,1.4,,1.4,,1.0,,1.2,,.9,.7,1.1,1.1,1.1,.7,1971,105.0,109.6,109.3,108.0,106.2,105.8,105.2,104.5,103.4,103.5,102.5,101.2,100.9
1972,.6,1.0,.8,,.6,,.7,,.5,,.5,,.4,.4,.4,.5,.5,.3,1972,103.1,100.7,100.6,100.6,100.7,100.7,101.5,101.4,103.1,105.4,106.7,107.7,108.2
1973,.3,.6,.4,,.5,,.4,,.3,,.3,,.5,.3,.2,.2,.2,.2,1973,112.4,108.8,110.4,110.7,110.4,110.6,112.1,111.5,111.7,114.1,115.3,115.8,117.2
1974,.5,.3,.4,,.4,,.5,,.5,,6,,.4,.4,.5,.6,.9,.8,1974,109.6,116.6,116.3,116.6,114.0,112.3,111.3,110.2,69.3,110.1,113.1,113.6,111.5
1975,,1.6,1.5,,1.6,,1.9,,1.6,,1.7,,,,,,,,1975,,109.4,103.2,102.6,97.7,93.8,90.8,,,,,,
,See  fo o tn o te s   a t  e nd  o f  ta b le s .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2 8 5,,,,,,,,,,,,,,
