0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,MANUFACTURING_____________________________________________,,,,,,,,,,,,,,,,SIC  19
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,,,,,,July,August,,October,,,,,,,January,February,March,April,May,June,July,August,September,"Oc+,'ber",November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1975,,177.2,176.3,175.6,174.2,173.4,172.7,,,,,,,,,1972,91.3,88.4,87.3,86.9,87.4,88.2,91.2,92.1,93.8,90.8,92.0,99.0,98.7
,,,,,,,,,,,,,,,,1973,92.1,97.6,97.4,96.2,93.3,91.7,91.5,91.7,90.6,90.6,89.4,86.6,88.7
,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,,,,1974,84.9,87.9,86.0,85.6,84.3,81.8,82.2,82.6,83.5,86.6,86.2,85.9,86.2
,,,,,,,,,,,,,,,,1975,,85.1,84.4,83.9,82.7,82.0,81.2,,,,,,
1950,,4.1,,,4.5,,,5.0,,,6.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER AVERAGE  WEEKLY EARNINGS  -   IN  DOLLARS,,,,,,,,,
1951,,8.2,,,12.2,,,18.1,,,27.5,,,,,,,,,,,,,,,,,,
1952,,39.3,,,46.2,,,50.2,,,53.6,,,,,1947,53.81,51.78,52.03,52.20,51.73,53.30,53.94,53.82,52.85,55.22,55.44,55.61,57.94
1953,,57.8,,,64.2,,,67.5,,,63.0,,,,,1948,57.28,54.65,54.78,56.27,56.18,56.80,57.24,58.00,57.47,58.91,59.36,59.57,58.69
1954,,54.4,,,40.2,,,34.7,,,32.5,,,,,1949,58.80,58.14,59.29,57.93,54.13,59.36,58.75,59.68,58.47,59.80,60.00,59.85,60.88
1955,,31.7,,,30.6,,,28.4,,,27.9,,,,,1950,65.06,60.73,60.91,61.34,61.46,61.69,61.93,64.97,66.20,67.50,68.73,70.60,68.41
1956,,26.8,,,26.3,,,26.2,,,26.2,,,,,,,,,,,,,,,,,,
1957,,26.6,,,26.6,,,26.2,,,24.4,,,,,1951,74.04,69.64,70.81,72.76,70.81,72.50,71.15,73.19,73.68,76.39,75.60,75.43,77.50
1958,,24.5,,,26.9,,,29.1,,,31.8,,,,,1952,77.35,77.18,78.59,78.76,77.15,78.12,77.76,75.60,74.07,80.14,78.54,75.30,77.00
1959,38.2,35.6,36.3,37.2,37.5,37.4,37.8,38.3,38.4,39.2,39.6,39.8,41.4,,,1953,78.14,76.11,77.64,77.71,76.76,78.50,79.13,78.12,78.36,79.37,79.17,76.43,79.17
1960,42.3,40.4,40.7,40.9,40.9,41.2,41.4,41.4,42.9,43.3,44.0,44.9,45.5,,,1954,79.80,77.81,78.61,79.40,78.41,79.00,79.60,80.00,80.40,80.79,81.61,82.01,82.42
,,,,,,,,,,,,,,,,1955,83.63,81.39,82.41,82.62,82.62,83.03,83.64,82.80,82.61,85.47,85.47,86.92,86.92
1961,47.0,46.0,46.3,46.4,46.9,46.7,46.6,46.2,46.7,47.1,47.6,48.9,48.8,,,1956,91.72,87.74,88.38,88.97,90.47,90.89,91.69,91.91,90.80,94.05,95.34,94.66,96.87
1962,51.2,48.7,48.9,49.9,50.3,51.3,51.5,51.8,52.6,52.6,52.3,52.2,51.7,,,1957,95.58,95.91,96.33,95.82,95.76,94.13,94.94,93.69,93.93,95.12,95.04,96.07,98.82
1963,49.5,50.9,50.4,49.9,48.8,49.3,49.2,48.9,49.0,49.4,49.4,49.3,48.9,,,1958,102.41,100.86,99.14,100.85,100.44,100.85,101.25,101.50,102.06,104.30,104.65,105.06,108.62
1964,44.2,48.3,47.5,47.5,47.1,45.9,44.6,43.1,42.1,41.8,41.3,41.0,40.2,,,1959,106.14,107.17,105.57,105.00,104.39,106.34,106.55,105.22,104.19,106.14,106.71,107.38,108.84
