0,1,2,3,4,5,6,7
1955,,,,,,,
January (cid:9),229,322,49,69,0.17,386,0.04
February(cid:9)(cid:9),255,347,92,122,.30,610,.07
March,310,435,164,212,. 51,"1,680",. 18
April (cid:9),352,497,211,308,. 74,"2,730",. 31
May,432,616,177,324,. 77,"2,820",.32
June,506,734,487,593,1.39,"3,380",. 36
,464,718,637,776,1.82,"3,320",. 39
August ------------------------,496,740,236,384,. 89,"3,060",. 31
,453,717,234,381,. 88,"2,770",. 30
,431,654,214,292,. 67,"2,470",.27
November (cid:9),242,451,84,201,. 46,"2,630",. 29
December (cid:9),150,303,61,178,.40,"2,340",.25
1956,,,,,,,
January (cid:9),260,357,88,192,.44,"2,150",.24
February,270,390,82,196,.45,"2,270",.25
,264,394,69,193,. 44,"2,020",.21
April(cid:9) (cid:9),382,516,141,199,.46,"1,540",.17
May ------- _____-______ --------- (cid:9),478,648,202,287,. 65,"2,910",.30
June (cid:9),372,576,115,230,. 52,"2,010",.21
July (cid:9),377,570,591,669,1.52,"12,500",1.35
August --(cid:9)------------------,398,625,137,699,1.56,"2,960",.29
September (cid:9),336,541,156,209,. 46,"1,630",. 19
October (cid:9),332,524,133,178,.40,"1,180",.11
,242,403,158,204,.45,"1,460",. 15
December (cid:9),114,240,29,53,.12,472,.05
