0,1,2,3,4,5,6,7
,,(calendar,,employed,,time of all,involved
,,days) 3,,,,workers,
927 (cid:9),707,26.5,330,1.4,"26,200",0.37,79.5
928 (cid:9),604,27.6,314,1.3,"12,600",.17,40.2
929 ____________ ______________ (cid:9),921,22.6,289,1.2,"5,350",. 07,18.5
.930 ____ __________ ____________ (cid:9),637,22.3,183,.8,"3,320",.05,18.1
.931 _________________ ______________ _,810,18.8,342,1.6,"6,890",. 11,20.2
932,841,19.6,324,1.8,"10,500",. 23,32.4
,,16.9,"1,170",6.3,"16,900",. 36,14.4
934 ________ ____ ________ _____ _,"1,856",19.5,"1,470",7.2,"19,600",. 38,13.4
,,23.8,"1,120",5.2,"15,500",. 29,13.8
936 (cid:9),"2,172",23.3,789,3.1,"13,900",.21,17.6
937 (cid:9),"4,740",20.3,"1,860",7.2,"28,400",.43,15.3
938 __________ ______ _________,"2,772",23.6,688,2.8,"9,150",. 15,13.3
939 -,"2,613",23.4,"1,170",4.7,"17,800",.28,15.2
940,"2,508",20.9,577,2.3,"6,700",. 10,11.6
941,"4,288",18.3,"2,360",8.4,"23,000",.32,9.8
942,"2,968",11.7,840,2.8,"4,180",.05,5.0
943 _____________ __________ _,"3,752",5.0,"1,980",6.9,"13,500",. 15,6.8
.944 _____________ _____ _________,"4,956",5.6,"2,120",7.0,"8,720",.09,4.1
945,"4,750",9. 9,"3,470","12,2","38,000",. 47,11.0
946 (cid:9),"4,985",24.2,"4,600",14.5,"116,000",1.43,25.2
.947 _,"3,693",25.6,"2,170",6.5,"34,600",.41,15.9
",948 _","3,419",21.8,"1,960",5.5,"34,100",.37,17.4
949 ____________ __________ _______,"3,606",22.5,"3,030",9.0,"50,500",. 59,16. 7
.950 (cid:9),"4,843",19.2,"2,410",6.9,"38,800",.44,16.1
.951 _______________ ______ ________,"4,737",17.4,"2,220",5.5,"22,900",.23,10.3
.952 ___ ______ _________------,"5,117",19.6,"3,540",8.8,"59,100",. 57,16.7
.953,"5,091",20..3,"2,400",5.6,"28,300",. 26,11.8
.954 (cid:9),"3,468",22.5,"1,530",3.7,"22,600",.21,14.7
.955 _(cid:9)(cid:9),"4,320",18.5,"2,650",6.2,"28,200",.26,10.7
;956 _ _______ __________ ______ _____,"3, 825",18.9,"1,900",4.3,"33,100",. 29,17.4
.957 (cid:9),,,,,,,
.958 _(cid:9),,,,,,,
