year,aircraft,communication,electronics,ordnance,ship
1958,0.9,1,1.3,1,1.7
1959,1.2,1.2,1.9,1.2,1.6
1960,1,1.3,1.6,1.1,1.7
1961,0.9,1.2,1.6,1.1,1.6
1962,1.1,1.3,1.9,1.2,1.6
1963,1,1.2,1.6,1,1.6
1964,0.9,1,1.7,0.9,1.8
1965,1.1,1.1,2.2,1.1,2.2
1966,1.6,1.6,3,1.5,2.9
1967,1.6,1.5,2.4,1.7,2.4
1968,1.5,1.5,2.4,1.9,2.7
1969,1.3,1.5,2.7,1.8,3
1970,0.8,1.3,1.9,1.1,2.2
1971,0.6,0.8,1.5,0.8,2
1972,0.7,0.9,2.2,0.9,2.1
1973,0.9,1.1,3,1.1,2.7
1974,0.8,1.1,2.5,0.9,2.6
