year,aircraft,electronics,ordnance,ship
1958,2.26,2.26,2.26,2.26
1959,2.36,2.36,2.36,2.36
1960,2.43,2.43,2.43,2.43
1961,2.49,2.49,2.49,2.49
1962,2.56,2.56,2.56,2.56
1963,2.63,2.63,2.63,2.63
1964,2.71,2.71,2.71,2.71
1965,2.79,2.79,2.79,2.79
1966,2.9,2.9,2.9,2.9
1967,3,3,3,3
1968,3.19,3.19,3.19,3.19
1969,3.38,3.38,3.38,3.38
1970,3.55,3.55,3.55,3.55
1971,3.79,3.79,3.79,3.79
1972,4.06,4.06,4.06,4.06
1973,4.34,4.34,4.34,4.34
1974,4.69,4.69,4.69,4.69
