year,aircraft,communication,electronics,ordnance,ship
1958,2.4,2.6,4,3.7,11.6
1959,2.3,3.5,5,3.2,11.1
1960,2.4,3.1,4,NA,11.4
1961,2.8,2.8,4.7,2.9,10.5
1962,2.9,3.3,4.5,2.9,10.3
1963,2.4,2.3,4,2.5,9.7
1964,2.1,2.4,4.5,NA,11.5
1965,3.2,2.9,5.4,2.9,9.8
1966,4.2,3.5,5.7,4,8.9
1967,3.1,3,4.2,3.9,8.6
1968,2.3,2.5,4.5,3.4,9.1
1969,2,2.8,4.9,2.4,8.3
1970,1.4,2.1,3,1.7,7.3
1971,1.7,1.6,3.6,1.9,8.6
1972,2,2,4.4,2.6,8.1
1973,2.3,2.3,5.3,2.2,7.9
1974,2.1,2,3.6,2.2,7.4
