year,aircraft,communication,electronics,ordnance,ship
1958,2.8,2.5,3.9,NA,12.1
1959,3.2,2.4,3.6,2.4,11.4
1960,3.3,2.6,4.3,2.4,11.2
1961,2.6,2.6,4.1,2.3,10.8
1962,2.5,2.6,4.3,2.7,10.2
1963,2.5,3.2,4.6,2.7,10.6
1964,2.6,2.8,4.1,3.4,10.2
1965,2.3,2.3,4,2.5,9
1966,2.6,2.7,4.7,2.7,8.9
1967,2.7,2.7,5.1,3.2,8.9
1968,2.7,2.8,4.5,3.4,8.6
1969,2.8,2.8,4.7,3.9,8
1970,3.5,3.5,5.3,4,8.1
1971,3,2.6,3.7,3,8.6
1972,2,2,3.8,2.2,7.8
1973,2.1,2.1,4.5,2.7,7.5
1974,1.9,2.2,5,2.5,6.5
