0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  332
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,
,,,,,,,,,w y,August,,October,November,December,,Year,,Jbnuary,February,March,AprilMayJuneJuly,,August,September,October,November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,
1962,,,104.40,,,,,,,,,,,,,1965,43.5,43.3,43.9,44.0,42.743.844.0,43.2,42.5,43.6,43.4,43.1,44.0
,106.52,102.70,,,105.85,106.11,106.90,109.41,106.90,103.34,107.45,106.52,107.73,109.88,,,,,,,,,,,,,
,,108.14,110.83,,,,,,,,,,,,,1966,43.0,43.2,43.4,43.4,43.443.143.2,41.2,42.8,43.1,43.2,42.9,43.3
1963,113.28,,,,110.56,110.15,112.98,115.45,111.78,111.49,114.39,115.08,116.20,120.81,,,,,,,,,,,,,
1964,119.84,118.30,118.71,,119.69,119.69,119.69,121.24,118.58,119.69,120.13,115.37,,125.12,,1967,41.6,42.5,41.4,41.3,40.941.441.9,41.4,41.6,41.5,41.7,41.5,42.1
,,,,,,,,,,,,,120.83,,,,,,,,,,,,,,
,125.72,123.41,125.99,,127.16,122.55,126.58,127.60,,,,,,,,1968,42.0,41.3,41.6,41.8,39.942.442.5,41.8,41.6,43.2,42.8,42.7,42.4
1965,,,,,,,,,123.98,121.13,126.88,126.29,126.28,129.36,,,,,,,,,,,,,
1966,128.57,127.01,128.90,,129.33,128.90,127.58,128.74,121.13,,130.16,,130.42,131.63,,1969,42.2,42.1,42.1,42.1,42.042.042.1,41.2,42.0,42.6,42.4,42.0,43.2
,,,,,,,,,,126.69,,130.90,,,,,,,,,,,,,,,
1967,127.71,,125.44,,125.14,123.11,125.86,129.05,125.44,128.54,127.82,,,134.30,,1970,40.6,41.8,41.0,41.1,40.540.840.9,40.8,40.0,40.1,39.7,39.4,40.4
,,129.20,,,,,,,,,,129.27,130.73,,,,,,,,,,,,,,
1968,139.86,132.99,134.78,,136.27,129.68,139.92,140.68,137.52,137.70,146.45,145.95,146.89,147.98,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1971,40.7,40.0,40.2,40.1,40.140.540.6,40.6,40.3,40.2,41.2,41.2,42.8
1969,150.23,148.19,146.93,,147.77,147.84,148.26,148.61,145.44,150.36,153.79,153.49,151.62,158.98,,,,,,,,,,,,,
,,154.24,149.65,,149.60,148.64,151.37,152.97,153.41,,,,,,,1972,42.2,41.3,41.8,41.8,41.942.142.4,41.2,41.2,42.3,42.7,43.0,44.1
1970,151.03,,,,,,,,,148.00,152.38,148.88,147.36,156.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1973,43.3,42.8,43.6,43.0,43.443.442.8,42.8,42.5,43.7,43.7,43.5,44.2
,,,,,,,162.41,,,162.41,,,,183.18,,1974,42.1,42.0,42.2,42.5,40.042.942.9,41.6,42.2,42.4,42.4,41.8,42.3
1971,164.43,156.80,157.99,,158.40,160.00,,162.81,163.62,,162.81,168.92,169.33,,,,,,,,,,,,,,
,,,,,179.74,181.01,183.14,184.02,177.16,178.40,185.70,,191.35,199.77,,1975,,40.1,40.1,40.2,40.640.240.9,,,,,,
1972,183.99,176.76,180.16,,,,,,,,,188.73,,,,,,,,,,,,,,,
1973,206.54,198.59,202.30,,199.52,205.72,202.02,206.15,203.73,201.45,211.95,213.69,212.72,218.35,,,,,,,,,,,,,
1974,213.03,205.80,205.51,,209.10,197.20,216.65,217.50,209.66,213.53,218.36,221.75,217.36,222.92,,,,,,,PRODUCTION-WORKER  AVERAGE WEEKLY  OVERTIME HOURS,,,,,,
1975,,208.92,208.92,,211.45,217.21,216.28,222.09,,,,,,,,1958,1.5,1.3,1.4,1.2,1.01.11.4,1.4,1.6,2.0,1.6i,2.0i,2.4
,,,,,,,,,,,,,,,,1959,2.7,2.3,2.5,2.7,2.93.23.3,2.7,2.6,2.8,2.5i,2.2,2.6
,,,,1,PRODUCTION-WORKER,,AVERAGE  HOURLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,1960,2.1,2.9,2.8,2.6,1.82.02.1,1.9,1.9,1.9,1.8l,1.7,1.6
1947,1.330,1.271,1.269,,1.280,1.285,1.316,1.349,1.345,1.345,1.367,1.372,1.375,1.382,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1961,2.1,1.4,1.5,1.5,1.71.92.2,2.3,2.3,2.2,2.4,2.7,3.1
