0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  3391,
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,May,,June,,Ju«y,,August,September,October,November,December,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.6,,,,,,,,,,
1960,3.6,2.5,2.9,3.0,,3.0,,3.8,,3.3,,2.9,4.2,4.3,4.3,2.9,6.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1961,39.3,39.3,38.4,37.9,37.9,39.0,39.8,39.3,39.8,40.0,39.2,40.9,40.5
,,,,,,,,,,,,,,,,,,1962,41.2,40.6,40.7,41.8,41.9,41.8,41.8,41.0,41.5,40.5,40.0,41.5,41.8
1961,3.9,7.7,7.0,10.1,,2.5,,1.8,,2.5,,2.4,2.5,2.7,2.5,2.8,2.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1963,41.4,42.1,41.6,41.5,41.5,41.1,41.2,40.6,40.8,41.6,41.3,41.3,41.7
1962,2.6,1.8,2.8,2.9,,2.4,,2.4,,2.0,,4.5,2.5,3.4,2.7,2.0,1.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1964,41.6,41.7,41.8,41.7,41.8,41.5,41.6,40.7,40.7,42.0,41.7,41.9,42.0
1963,2.5,3.0,2.3,2.6,,2.5,,2.3,,2.3,,2.2,2.5,3.1,2.5,2.3,1.8,,,,,,,,,,,,,,
,,,,,,1.8,,,,,,2.1,,,2.2,1.8,,1965,44.1,42.1,42.5,43.0,43.1,43.6,44.2,44.2,42.5,45.4,45.6,46.3,46.4
1964,2.5,2.0,1.9,2.0,,,,2.3,,5.6,,,2.9,3.4,,,1.7,,,,,,,,,,,,,,
,,,,,,,,,,,,2.2,,,,,,1966,49.6,47.8,48.1,48.6,48.7,48.8,49.7,49.1,49.4,50.7,50.6,51.5,52.1
1965,2.4,1.9,1.9,2.4,,2.1,,2.1,,1.9,,,4.8,3.6,2.4,1.8,1.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1967,50.2,52.3,51.8,51.7,50.8,50.5,50.8,49.2,50.0,48.9,48.4,49.0,49.2
1966,3.0,2.4,2.1,2.7,,2.7,,2.6,,2.7,,4.4,3.9,4.8,2.9,2.5,1.9,,,,,,,,,,,,,,
,,,,,,,,,,2.6,,,,,,,2.2,1968,49.5,49.5,49.3,49.4,49.1,48.7,49.1,48.4,49.4,50.5,50.1,50.4,50.6
1967,3.2,2.8,3.1,3.1,,3.1,,3.1,,,,3.7,3.6,5.3,3.4,2.5,,,,,,,,,,,,,,,
,,,,,,2.8,,3.3,,2.8,,,,,3.7,2.6,,1969,50.6,50.8,50.9,51.0,49.8,49.8,51.4,50.4,50.5,50.8,50.3,50.7,51.3
1968,3.2,3.2,2.7,3.4,,,,,,,,2.9,3.9,4.6,,,2.3,,,,,,,,,,,,,,
,,,2.7,3.1,,3.2,,3.7,,3.3,,3.5,5.2,5.1,3.9,3.0,3.3,1970,47.4,50.8,49.4,49.2,48.2,46.8,48.3,47.3,46.8,47.8,43.9,44.1,46.4
1969,3.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,4.4,4.0,4.5,4.1,,4.8,,4.5,,4.7,,5.9,4.4,4.8,4.5,3.6,2.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1971,44.9,46.3,45.8,45.9,44.8,44.8,45.2,43.7,45.1,44.6,43.9,44.5,44.6
,,3.7,2.6,3.1,,3.3,,3.1,,3.0,,4.1,3.8,3.4,3.4,2.4,2.9,1972,45.7,44.4,44.6,44.9,44.3,45.3,46.3,44.5,45.6,46.5,47.3,46.9,47.6
