year,durgoods,manufacturing
1958,NA,NA
1959,4.42,3.79
1960,2.97,3.2
1961,2.47,2.65
1962,2.81,3.02
1963,2.73,2.93
1964,3.04,2.85
1965,2.95,3.16
1966,3.94,4.21
1967,3.45,4.04
1968,6.33,6.36
1969,5.96,5.98
1970,5.03,5.33
1971,6.76,6.25
1972,7.12,6.72
1973,6.9,7.09
1974,8.06,8.09
