year,durgoods,manufacturing
1958,0.75,0.75
1959,0.75,0.76
1960,0.74,0.75
1961,0.73,0.74
1962,0.73,0.74
1963,0.73,0.74
1964,0.73,0.74
1965,0.74,0.74
1966,0.74,0.74
1967,0.73,0.74
1968,0.73,0.73
1969,0.73,0.73
1970,0.72,0.72
1971,0.72,0.73
1972,0.73,0.73
1973,0.73,0.74
1974,0.73,0.73
