year,durgoods,manufacturing
1958,NA,NA
1959,17.83,26.14
1960,17.77,26.03
1961,18.1,26.29
1962,18.45,26.55
1963,18.16,26.37
1964,17.89,26.26
1965,18.15,26.4
1966,19.34,27.14
1967,19.91,27.53
1968,20.11,27.75
1969,20.56,28.1
1970,20.35,28.09
1971,19.92,27.95
1972,20.53,28.34
1973,21.51,28.92
1974,21.91,29.03
