year,durgoods,manufacturing
1958,NA,NA
1959,7.59,6.71
1960,1.45,1.65
1961,2.99,2.92
1962,4.33,4.57
1963,3.24,3.18
1964,3.79,3.35
1965,4.45,4.43
1966,4.19,4.47
1967,1.24,2.28
1968,6.85,6.62
1969,5.69,5.71
1970,2.49,3.26
1971,7.02,6.51
1972,9.51,8.6
1973,7.41,7.35
1974,5.98,6.23
