year,durgoods,manufacturing
1958,0.03,0.02
1959,0.02,0.01
1960,0.03,0.01
1961,0.02,0.01
1962,0.02,0.01
1963,0.02,0.01
1964,0.02,0.01
1965,0.01,0.01
1966,0.01,0.01
1967,0.01,0.01
1968,0.01,0.01
1969,0.01,0.01
1970,0.02,0.01
1971,0.02,0.01
1972,0.01,0.01
1973,0.01,0
1974,0.01,0.01
