year,durgoods,manufacturing
1958,8830,15945
1959,9373,16675
1960,9459,16796
1961,9070,16326
1962,9480,16853
1963,9616,16995
1964,9816,17274
1965,10406,18062
1966,11284,19214
1967,11439,19447
1968,11626,19781
1969,11895,20167
1970,11195,19349
1971,10597,18572
1972,11006,19090
1973,11839,20068
1974,11895,20046
