year,durgoods,manufacturing
1958,1.07,1
1959,1.08,1
1960,1.08,1
1961,1.07,1
1962,1.07,1
1963,1.07,1
1964,1.07,1
1965,1.07,1
1966,1.07,1
1967,1.06,1
1968,1.06,1
1969,1.06,1
1970,1.06,1
1971,1.06,1
1972,1.07,1
1973,1.06,1
1974,1.06,1
