year,durgoods,manufacturing
1958,0.9,1.1
1959,1.3,1.5
1960,1.1,1.3
1961,1,1.2
1962,1.2,1.4
1963,1.2,1.4
1964,1.3,1.5
1965,1.7,1.9
1966,2.4,2.6
1967,2.1,2.3
1968,2.2,2.5
1969,2.5,2.7
1970,1.8,2.1
1971,1.5,1.8
1972,1.9,2.2
1973,2.4,2.7
1974,2,2.3
