year,durgoods,manufacturing
1958,0.01,0.01
1959,0.01,0.01
1960,0.01,0.01
1961,0.01,0.01
1962,0.01,0.01
1963,0.01,0.01
1964,0.01,0.01
1965,0.02,0.01
1966,0.02,0.01
1967,0.02,0.01
1968,0.02,0.01
1969,0.02,0.01
1970,0.02,0.01
1971,0.01,0.01
1972,0.02,0.01
1973,0.02,0.01
1974,0.02,0.01
