year,durgoods,manufacturing
1958,NA,NA
1959,6.15,4.58
1960,0.92,0.73
1961,-4.11,-2.8
1962,4.52,3.23
1963,1.43,0.84
1964,2.08,1.64
1965,6.01,4.56
1966,8.44,6.38
1967,1.37,1.21
1968,1.63,1.72
1969,2.31,1.95
1970,-5.88,-4.06
1971,-5.34,-4.02
1972,3.86,2.79
1973,7.57,5.12
1974,0.47,-0.11
