year,durgoods,manufacturing
1958,2.26,2.11
1959,2.36,2.19
1960,2.43,2.26
1961,2.49,2.32
1962,2.56,2.39
1963,2.63,2.46
1964,2.71,2.53
1965,2.79,2.61
1966,2.9,2.72
1967,3,2.83
1968,3.19,3.01
1969,3.38,3.19
1970,3.55,3.36
1971,3.79,3.57
1972,4.06,3.81
1973,4.34,4.08
1974,4.69,4.41
