year,durgoods,manufacturing
1958,1.9,2
1959,2.7,2.7
1960,2.4,2.4
1961,2.3,2.4
1962,2.8,2.8
1963,2.9,2.8
1964,3.3,3.1
1965,3.9,3.6
1966,4.3,3.9
1967,3.5,3.4
1968,3.8,3.6
1969,3.8,3.6
1970,3,3
1971,2.8,2.9
1972,3.6,3.5
1973,4.1,3.8
1974,3.4,3.2
