year,durgoods,manufacturing
1958,NA,NA
1959,NA,NA
1960,-0.32,-0.42
1961,1.87,1
1962,1.91,0.98
1963,-1.58,-0.66
1964,-1.48,-0.41
1965,1.47,0.51
1966,6.52,2.8
1967,2.94,1.44
1968,1.03,0.83
1969,2.25,1.25
1970,-1.05,-0.02
1971,-2.1,-0.51
1972,3.03,1.41
1973,4.82,2.02
1974,1.83,0.39
