year,durgoods,manufacturing
1958,1,0.93
1959,1,0.93
1960,1,0.93
1961,1,0.93
1962,1,0.93
1963,1,0.94
1964,1,0.93
1965,1,0.94
1966,1,0.94
1967,1,0.94
1968,1,0.94
1969,1,0.94
1970,1,0.95
1971,1,0.94
1972,1,0.94
1973,1,0.94
1974,1,0.94
