year,durgoods,manufacturing
1958,NA,NA
1959,1671,4359
1960,1681,4372
1961,1642,4292
1962,1749,4474
1963,1746,4482
1964,1756,4537
1965,1889,4768
1966,2182,5214
1967,2277,5353
1968,2338,5490
1969,2446,5667
1970,2278,5436
1971,2111,5191
1972,2259,5411
1973,2547,5803
1974,2606,5819
