year,durgoods,manufacturing
1958,3.5,3.6
1959,4.2,4.2
1960,3.5,3.8
1961,3.9,4.1
1962,3.8,4.1
1963,3.6,3.9
1964,3.7,4
1965,4.1,4.3
1966,4.8,5
1967,4.1,4.4
1968,4.3,4.6
1969,4.4,4.7
1970,3.5,4
1971,3.5,3.9
1972,4.1,4.4
1973,4.4,4.8
1974,3.8,4.2
