year,durgoods,manufacturing
1958,3,2.36
1959,1.54,1.33
1960,2.27,1.85
1961,2.2,1.83
1962,1.58,1.43
1963,1.42,1.29
1964,1.15,1.13
1965,0.71,0.74
1966,0.42,0.46
1967,0.62,0.61
1968,0.5,0.48
1969,0.44,0.44
1970,1.11,0.86
1971,1.07,0.89
1972,0.53,0.5
1973,0.29,0.33
1974,0.75,0.65
