year,durgoods,manufacturing
1958,-2.6,-2.4
1959,-1.5,-1.5
1960,-2.4,-2.1
1961,-2,-1.8
1962,-1.5,-1.6
1963,-1.5,-1.5
1964,-1.2,-1.3
1965,-0.8,-1
1966,-0.6,-0.8
1967,-1.3,-1.3
1968,-1.2,-1.1
1969,-1.2,-1.2
1970,-2.4,-2
1971,-1.7,-1.6
1972,-0.7,-0.9
1973,-0.5,-0.7
1974,-1.7,-1.6
