year,durgoods,manufacturing
1958,0,-0.15
1959,0,-0.17
1960,0,-0.17
1961,0,-0.17
1962,0,-0.17
1963,0,-0.17
1964,0,-0.18
1965,0,-0.18
1966,0,-0.18
1967,0,-0.17
1968,0,-0.18
1969,0,-0.19
1970,0,-0.19
1971,0,-0.22
1972,0,-0.25
1973,0,-0.26
1974,0,-0.28
