year,durgoods,manufacturing
1958,39.5,39.2
1959,40.7,40.3
1960,40.1,39.7
1961,40.3,39.8
1962,40.9,40.4
1963,41.1,40.5
1964,41.4,40.7
1965,42,41.2
1966,42.1,41.3
1967,41.2,40.69
1968,41.4,40.7
1969,41.3,40.6
1970,40.3,39.8
1971,40.4,39.9
1972,41.3,40.6
1973,41.5,40.7
1974,40.7,40
