year,durgoods,manufacturing
1958,macro,macro
1959,macro,macro
1960,macro,macro
1961,macro,macro
1962,macro,macro
1963,macro,macro
1964,macro,macro
1965,macro,macro
1966,macro,macro
1967,macro,macro
1968,macro,macro
1969,macro,macro
1970,macro,macro
1971,macro,macro
1972,macro,macro
1973,macro,macro
1974,macro,macro
