year,durgoods,manufacturing
1958,89.27,82.71
1959,96.05,88.26
1960,97.44,89.72
1961,100.35,92.34
1962,104.7,96.56
1963,108.09,99.63
1964,112.19,102.97
1965,117.18,107.53
1966,122.09,112.34
1967,123.6,114.9
1968,132.07,122.51
1969,139.59,129.51
1970,143.07,133.73
1971,153.12,142.44
1972,167.68,154.69
1973,180.11,166.06
1974,190.88,176.4
