year,durgoods,manufacturing
1958,2.7,2.6
1959,2,2
1960,2.5,2.4
1961,2.2,2.2
1962,1.9,2
1963,1.7,1.8
1964,1.5,1.7
1965,1.2,1.4
1966,1,1.2
1967,1.3,1.4
1968,1.1,1.2
1969,1.1,1.2
1970,2,1.8
1971,1.6,1.6
1972,1,1.1
1973,0.7,0.9
1974,1.5,1.5
