year,durgoods,manufacturing
1958,4.1,4.1
1959,4,4.1
1960,4.3,4.3
1961,3.9,4
1962,3.8,4.1
1963,3.6,3.9
1964,3.6,3.9
1965,3.8,4.1
1966,4.4,4.6
1967,4.3,4.6
1968,4.4,4.6
1969,4.6,4.9
1970,4.7,4.8
1971,3.9,4.2
1972,3.7,4.2
1973,4.1,4.6
1974,4.5,4.8
