year,durgoods,manufacturing
1958,1.5,1.7
1959,2.5,2.6
1960,1.9,2.2
1961,1.9,2.2
1962,2.3,2.5
1963,2.1,2.4
1964,2.4,2.6
1965,3,3.1
1966,3.8,3.8
1967,3,3.3
1968,3.2,3.5
1969,3.4,3.7
1970,2.3,2.8
1971,2.2,2.6
1972,3,3.3
1973,3.6,3.9
1974,2.8,3.2
