year,appliances,furniture
1958,NA,NA
1959,5.61,6.48
1960,1.43,0.97
1961,5.27,1.6
1962,2.89,3.89
1963,2.95,3.06
1964,0.03,3.25
1965,6.72,4.42
1966,3.74,4
1967,1.07,2.63
1968,6.5,6.53
1969,4.13,5.55
1970,2.77,2.58
1971,8.07,6.3
1972,6.48,7.37
1973,3.63,4.95
1974,3.9,4.94
