year,appliances,furniture
1958,1.6,2
1959,2,2.8
1960,1.6,2.5
1961,1.9,2.4
1962,1.9,2.9
1963,2.2,3
1964,2.2,3.2
1965,3,3.6
1966,3.4,3.8
1967,2.5,3
1968,2.9,3.4
1969,3,3.3
1970,2.4,2.3
1971,2.5,2.6
1972,2.9,3.2
1973,2.8,3.1
1974,2.3,2.4
