year,appliances,furniture
1958,2.5,2.4
1959,2.2,1.8
1960,2.8,2.1
1961,2.1,2.1
1962,1.8,1.8
1963,1.4,1.6
1964,1.2,1.3
1965,1.2,1
1966,0.8,0.8
1967,1.1,1.1
1968,0.8,0.8
1969,0.7,0.7
1970,1.3,1.4
1971,1.7,1.1
1972,0.9,0.7
1973,0.7,0.7
1974,1.9,1.7
