year,appliances,furniture
1958,3.12,1.85
1959,2,0.95
1960,2.8,1.24
1961,2.62,1.4
1962,1.64,0.86
1963,1.27,0.76
1964,1,0.54
1965,0.75,0.32
1966,0.33,0.19
1967,0.55,0.3
1968,0.38,0.2
1969,0.28,0.16
1970,0.65,0.44
1971,1.21,0.37
1972,0.5,0.17
1973,0.28,0.14
1974,0.9,0.42
