year,appliances,furniture
1958,0.76,0.83
1959,0.78,0.83
1960,0.77,0.83
1961,0.76,0.83
1962,0.76,0.83
1963,0.77,0.83
1964,0.77,0.83
1965,0.78,0.83
1966,0.79,0.83
1967,0.79,0.82
1968,0.79,0.83
1969,0.79,0.83
1970,0.8,0.82
1971,0.79,0.82
1972,0.79,0.83
1973,0.79,0.83
1974,0.78,0.82
