year,appliances,furniture
1958,3.8,4.2
1959,3.9,4.4
1960,4.3,4.6
1961,3.6,4.3
1962,3.7,4.6
1963,3.2,4.4
1964,3.1,4.6
1965,3.6,5.1
1966,4.4,6.3
1967,4.2,5.8
1968,4.1,6
1969,4.4,6.5
1970,4.4,5.7
1971,4.1,5.2
1972,3.9,5.9
1973,4.5,6.9
1974,5.4,6.9
