year,appliances,furniture
1958,89.83,69.95
1959,94.87,74.48
1960,96.23,75.2
1961,101.3,76.4
1962,104.23,79.37
1963,107.3,81.8
1964,107.33,84.46
1965,114.54,88.19
1966,118.82,91.72
1967,120.09,94.13
1968,127.89,100.28
1969,133.17,105.85
1970,136.86,108.58
1971,147.9,115.42
1972,157.49,123.93
1973,163.21,130.07
1974,169.58,136.5
