year,appliances,furniture
1958,0.54,0.36
1959,0.7,0.49
1960,0.64,0.44
1961,0.54,0.41
1962,0.73,0.55
1963,0.71,0.54
1964,0.75,0.59
1965,0.97,0.72
1966,1.33,0.93
1967,1.14,0.81
1968,1.17,0.87
1969,1.34,0.93
1970,1.09,0.7
1971,0.78,0.65
1972,0.97,0.79
1973,1.27,0.92
1974,1.12,0.77
