year,appliances,furniture
1958,0.17,-0.33
1959,0.17,-0.36
1960,0.17,-0.38
1961,0.2,-0.41
1962,0.19,-0.44
1963,0.17,-0.46
1964,0.12,-0.48
1965,0.17,-0.49
1966,0.15,-0.51
1967,0.15,-0.5
1968,0.14,-0.54
1969,0.09,-0.57
1970,0.07,-0.59
1971,0.1,-0.67
1972,0.05,-0.75
1973,-0.02,-0.82
1974,-0.16,-0.91
