year,appliances,furniture
1958,NA,NA
1959,3.51,2.81
1960,2.97,2.73
1961,3.7,1.6
1962,2.38,2.09
1963,1.94,2.56
1964,0.76,2.5
1965,4.91,3.41
1966,3.24,4.25
1967,3.83,5.43
1968,5.7,6.01
1969,4.13,6.07
1970,4.57,5.73
1971,7,4.69
1972,5.18,5.52
1973,5.18,6.54
1974,4.68,7.36
