year,appliances,furniture
1958,112.6,298.7
1959,121.8,321
1960,119.4,318.5
1961,112.9,303.9
1962,114.8,319.6
1963,119.3,324.1
1964,124.3,337
1965,129.7,357.4
1966,141.7,382.5
1967,137.5,374.9
1968,142.4,389.7
1969,148.2,401.6
1970,146.4,378.8
1971,141,379.1
1972,147.7,416.2
1973,155.9,442.2
1974,146.7,423.1
