year,appliances,furniture
1958,147.7,360.8
1959,157,385
1960,155.4,383
1961,148.2,367.5
1962,150.3,385.1
1963,155.5,389.9
1964,160.4,405.9
1965,165.3,430.7
1966,179.9,461.5
1967,174.8,455.4
1968,179.3,471.6
1969,186.9,483.9
1970,183.8,459.8
1971,178.8,461
1972,185.9,503.4
1973,196.3,535.5
1974,188.1,516.7
