year,appliances,furniture
1958,1.08,0.84
1959,1.08,0.84
1960,1.08,0.83
1961,1.09,0.82
1962,1.08,0.82
1963,1.07,0.81
1964,1.05,0.81
1965,1.07,0.81
1966,1.06,0.81
1967,1.05,0.82
1968,1.05,0.82
1969,1.03,0.82
1970,1.02,0.82
1971,1.03,0.81
1972,1.01,0.8
1973,1,0.8
1974,0.96,0.79
