year,appliances,furniture
1958,3.6,3.8
1959,3.6,4.5
1960,3.4,3.9
1961,3.8,4.1
1962,3.5,4.5
1963,3.7,4.4
1964,3.3,4.8
1965,4,5.5
1966,5.1,6.6
1967,3.9,5.6
1968,4.3,6.3
1969,4.5,6.4
1970,4.1,4.9
1971,3.7,5.3
1972,4.4,6.4
1973,4.7,6.9
1974,4,5.5
