year,appliances,furniture
1958,2.28,1.78
1959,2.36,1.83
1960,2.43,1.88
1961,2.52,1.91
1962,2.58,1.95
1963,2.63,2
1964,2.65,2.05
1965,2.78,2.12
1966,2.87,2.21
1967,2.98,2.33
1968,3.15,2.47
1969,3.28,2.62
1970,3.43,2.77
1971,3.67,2.9
1972,3.86,3.06
1973,4.06,3.26
1974,4.25,3.5
