year,appliances,furniture
1958,0.02,-0.48
1959,0,-0.53
1960,0,-0.55
1961,0.03,-0.58
1962,0.02,-0.61
1963,0,-0.63
1964,-0.06,-0.66
1965,-0.01,-0.67
1966,-0.03,-0.69
1967,-0.02,-0.67
1968,-0.04,-0.72
1969,-0.1,-0.76
1970,-0.12,-0.78
1971,-0.12,-0.89
1972,-0.2,-1
1973,-0.28,-1.08
1974,-0.44,-1.19
