year,appliances,furniture
1958,39.4,39.3
1959,40.2,40.7
1960,39.6,40
1961,40.2,40
1962,40.4,40.7
1963,40.8,40.9
1964,40.5,41.2
1965,41.2,41.6
1966,41.4,41.5
1967,40.3,40.4
1968,40.6,40.6
1969,40.6,40.4
1970,39.9,39.2
1971,40.3,39.8
1972,40.8,40.5
1973,40.2,39.9
1974,39.9,39
