year,appliances,furniture
1958,1.4,2.2
1959,1.9,3.4
1960,1.7,2.8
1961,1.5,2.8
1962,1.8,3.5
1963,2.3,3.5
1964,2.1,3.9
1965,2.7,4.6
1966,4.1,5.9
1967,2.7,4.7
1968,3.2,5.6
1969,3.5,5.7
1970,2.8,3.9
1971,2,4.4
1972,3,5.7
1973,3.6,6.3
1974,2.7,4.8
