year,appliances,furniture
1958,0.8,1.3
1959,1.1,1.9
1960,1,1.7
1961,0.8,1.5
1962,1.1,2.1
1963,1.1,2.1
1964,1.2,2.4
1965,1.6,3.1
1966,2.4,4.3
1967,2,3.7
1968,2.1,4.1
1969,2.5,4.5
1970,2,3.2
1971,1.4,3
1972,1.8,4
1973,2.5,4.9
1974,2.1,4
