year,appliances,furniture
1958,-2.4,-2
1959,-2,-1
1960,-2.6,-1.8
1961,-2.1,-1.5
1962,-1.9,-1.1
1963,-0.9,-0.9
1964,-1,-0.7
1965,-0.9,-0.5
1966,-0.3,-0.4
1967,-1.5,-1.1
1968,-0.9,-0.4
1969,-0.9,-0.8
1970,-1.6,-1.8
1971,-2.1,-0.8
1972,-0.9,-0.2
1973,-0.9,-0.6
1974,-2.7,-2.1
