year,appliances,furniture
1958,NA,NA
1959,6.3,6.71
1960,-1.02,-0.52
1961,-4.63,-4.05
1962,1.42,4.79
1963,3.46,1.25
1964,3.15,4.1
1965,3.05,6.11
1966,8.83,7.15
1967,-2.83,-1.32
1968,2.57,3.56
1969,4.24,2.61
1970,-1.66,-4.98
1971,-2.72,0.26
1972,3.97,9.2
1973,5.59,6.38
1974,-4.18,-3.51
